route_id,route_number,route_description,distance_dir_0_km,distance_dir_1_km,trip_time_0_min,trip_time_1_min,road_gradient_0_%,road_gradient_1_%,number_of_daily_roundtrips_0,number_of_daily_roundtrips_1,stop_coordinates_array_0,stop_coordinates_array_1,daily_passenger_demand,emissions_impact_score,equity_score,base_buses
3-159-G-015-1,159,Lochhausen Bf. - Paulaner Brauerei - Pasing Bf.,8.3,7.9,22.0,19.0,0.904,0.709,17.0,17.0,"[[48.17798236, 11.40731054], [48.17973744, 11.40791241], [48.17955774, 11.41825202], [48.18113907, 11.4238575], [48.1758678, 11.43702681], [48.17493329, 11.44680048], [48.1693199, 11.45699635], [48.16451477, 11.45630465], [48.15652121, 11.45758924], [48.14919767, 11.45929604]]","[[48.14947937, 11.45900858], [48.15651521, 11.45774196], [48.16564719, 11.45724788], [48.16933787, 11.4571311], [48.17523282, 11.44631539], [48.1758678, 11.43702681], [48.18120496, 11.42383055], [48.17963561, 11.41822507], [48.17979135, 11.40783156], [48.17798236, 11.40731054]]",407,301.28,0.0172,1
3-160-G-015-1,160,"Karlsfeld, Gartenstr. - Allach Bf. - Blutenburg - Pasing Bf. Nord - Pasing Bf. - Lochham Bf. - Waldfriedhof",20.96,20.69,63.5,64.0,0.606,0.372,1.0,6.0,"[[48.22910064, 11.47230365], [48.23023163, 11.47324688], [48.23336717, 11.47277975], [48.2344861, 11.47174669], [48.23036926, 11.46694969], [48.22898694, 11.46392237], [48.22735323, 11.46151488], [48.21665207, 11.45717602], [48.21289895, 11.45832586], [48.20536794, 11.45747246], [48.20255999, 11.45709517], [48.19879985, 11.45800247], [48.19627298, 11.46101182], [48.19439271, 11.46391338], [48.19175184, 11.46634782], [48.19020677, 11.46738088], [48.18833227, 11.46067945], [48.18505623, 11.46004164], [48.17960566, 11.46116454], [48.17790449, 11.46162268], [48.1726269, 11.45998774], [48.16967337, 11.45695144], [48.16491621, 11.45719398], [48.16469452, 11.46418288], [48.16410134, 11.46722817], [48.16121323, 11.46698562], [48.15727028, 11.46696765], [48.15423796, 11.46667121], [48.1504503, 11.46244913], [48.14639863, 11.46477576], [48.1467223, 11.46183827], [48.14936549, 11.45937689], [48.14836457, 11.45405886], [48.14566139, 11.45304377], [48.14212486, 11.45010628], [48.14063824, 11.44814795], [48.13800659, 11.44318027], [48.13436762, 11.43743105], [48.13180159, 11.43437678], [48.12844399, 11.43359524], [48.12617148, 11.43826648], [48.12519409, 11.44413248], [48.12479234, 11.4471598], [48.12326925, 11.45124714], [48.12150624, 11.45072611], [48.11990508, 11.45032187], [48.11790207, 11.44342281]]","[[48.11790207, 11.44342281], [48.11989309, 11.45043865], [48.12147625, 11.45089679], [48.12329923, 11.45141782], [48.12539797, 11.44599199], [48.12520609, 11.44326111], [48.12641733, 11.43817665], [48.12855191, 11.43370304], [48.1313939, 11.43419711], [48.13452349, 11.43774546], [48.13792266, 11.44331501], [48.14040446, 11.44800422], [48.14206491, 11.45028594], [48.14560744, 11.45316055], [48.14808287, 11.45418463], [48.14919767, 11.45929604], [48.14657245, 11.46100284], [48.1466264, 11.46553933], [48.15077394, 11.46216167], [48.1538664, 11.46685986], [48.15728227, 11.46713833], [48.16123121, 11.46713833], [48.1648503, 11.46609629], [48.16486229, 11.46274557], [48.16564719, 11.45724788], [48.16933787, 11.4571311], [48.17292045, 11.46037402], [48.17781464, 11.46179336], [48.17927023, 11.46148793], [48.18442734, 11.46028419], [48.18881139, 11.46144301], [48.18984146, 11.46749766], [48.19179376, 11.46648256], [48.19422504, 11.46425474], [48.19634483, 11.46110166], [48.19997941, 11.45824501], [48.20258394, 11.45722093], [48.20655334, 11.45764314], [48.21185736, 11.45855044], [48.21688551, 11.45721195], [48.22730536, 11.46164064], [48.22769434, 11.4639583], [48.22662313, 11.46810851], [48.22910064, 11.47230365]]",882,163.79,0.3118,4
3-161-G-015-1,161,Pasing Bf. Nord - Berduxstraße,1.58,1.89,5.5,7.5,0.506,0.633,60.0,60.0,"[[48.1504503, 11.46244913], [48.15005474, 11.46920446], [48.15005474, 11.47192635], [48.15019858, 11.47635505], [48.1516969, 11.48050527]]","[[48.1516969, 11.48050527], [48.15083387, 11.47497164], [48.15016262, 11.47210602], [48.15016262, 11.46912361], [48.1504503, 11.46244913]]",899,242.94,0.6729,1
3-162-G-015-4,162,Eichelhäherstraße - Lochhausen Bf. - Pasing Bf. - Obermenzing Bf. - Amalienburgstraße - Untermenzing Bf. - Krautheimstr. - Waldhornstraße - Moosach Bf.,19.71,19.98,66.0,66.0,0.599,0.576,58.0,59.0,"[[48.17399278, 11.3906378], [48.17463976, 11.39474311], [48.17541253, 11.39801297], [48.17628114, 11.40354659], [48.17620925, 11.40766088], [48.17299833, 11.40719375], [48.16757644, 11.41091278], [48.16407138, 11.41331128], [48.15979908, 11.41505401], [48.15685679, 11.41588945], [48.15392633, 11.4184227], [48.14970712, 11.42057865], [48.14750748, 11.42198002], [48.14839454, 11.42550142], [48.14918569, 11.43097216], [48.14921565, 11.43350541], [48.14499606, 11.43480797], [48.14607497, 11.44766286], [48.14808287, 11.45418463], [48.14901187, 11.45986198], [48.14657245, 11.46100284], [48.1466264, 11.46553933], [48.15005474, 11.46920446], [48.15005474, 11.47192635], [48.15092377, 11.47518724], [48.15287156, 11.47647183], [48.15649724, 11.47879847], [48.16105744, 11.47829541], [48.1637658, 11.47686709], [48.16410733, 11.47868169], [48.16372386, 11.48593109], [48.16574305, 11.49309965], [48.16544947, 11.48968605], [48.16707317, 11.48762891], [48.16912818, 11.48471836], [48.17076973, 11.48209528], [48.17380707, 11.47744201], [48.1755563, 11.47505249], [48.17745523, 11.4744057], [48.1792283, 11.47474706], [48.18169012, 11.47514232], [48.18284013, 11.47273484], [48.18342112, 11.47825948], [48.18334924, 11.48381107], [48.18388231, 11.4888596], [48.1793481, 11.49021605], [48.17846157, 11.49521069], [48.17925825, 11.49671087], [48.18051613, 11.50164262], [48.18111511, 11.50603539]]","[[48.18077369, 11.50610725], [48.18057603, 11.50140008], [48.17915642, 11.49582154], [48.17837771, 11.49426746], [48.17980333, 11.48985673], [48.18409194, 11.48939859], [48.18347502, 11.48414344], [48.18354091, 11.47825948], [48.18292399, 11.47264501], [48.18114506, 11.47513334], [48.17919835, 11.47463028], [48.17734141, 11.47424401], [48.17608346, 11.4744596], [48.17394485, 11.4770198], [48.17090153, 11.48168206], [48.16890051, 11.48481718], [48.16722295, 11.48725161], [48.16531166, 11.48972198], [48.165785, 11.49409678], [48.16385568, 11.48676652], [48.16426911, 11.47868169], [48.16348418, 11.47626522], [48.16093759, 11.47817863], [48.15637139, 11.47850202], [48.15367462, 11.47678624], [48.15083387, 11.47497164], [48.15016262, 11.47210602], [48.15016262, 11.46912361], [48.14639863, 11.46477576], [48.1467223, 11.46183827], [48.14912575, 11.46008656], [48.14836457, 11.45405886], [48.14602102, 11.44617166], [48.14500805, 11.43501458], [48.14942543, 11.43391863], [48.14936549, 11.43099911], [48.14864627, 11.42595956], [48.14757341, 11.42177341], [48.15000679, 11.42063255], [48.15419601, 11.4184227], [48.1572583, 11.41587148], [48.159859, 11.41517978], [48.16428708, 11.41332925], [48.16761239, 11.41103854], [48.1719739, 11.40711291], [48.17634703, 11.40775969], [48.17637099, 11.40337591], [48.17558026, 11.39811179], [48.17509504, 11.39500362], [48.17399278, 11.3906378]]",4458,2669.08,0.4768,8
3-163-G-015-1,163,Allach Bf. - Krautheimstr. - Moosach Bf. - OEZ - Dessauerstr.,5.0,5.04,16.5,16.0,0.84,0.695,33.0,34.0,"[[48.19276988, 11.46838699], [48.19352441, 11.47070465], [48.19368609, 11.47312111], [48.19132665, 11.47344451], [48.18903297, 11.47237551], [48.18721832, 11.47209703], [48.18419975, 11.47249229], [48.18284013, 11.47273484], [48.18342112, 11.47825948], [48.18334924, 11.48381107], [48.18388231, 11.4888596], [48.1793481, 11.49021605], [48.17846157, 11.49521069], [48.17925825, 11.49671087], [48.18051613, 11.50164262], [48.18077369, 11.50610725]]","[[48.18077369, 11.50610725], [48.18057603, 11.50140008], [48.17915642, 11.49582154], [48.17837771, 11.49426746], [48.17980333, 11.48985673], [48.18409194, 11.48939859], [48.18347502, 11.48414344], [48.18354091, 11.47825948], [48.18292399, 11.47264501], [48.18434948, 11.47261806], [48.18714645, 11.47236653], [48.18909885, 11.47271687], [48.19175783, 11.47358824], [48.19375197, 11.47327383], [48.19368011, 11.47097414], [48.19276988, 11.46838699]]",976,400.29,0.5779,2
3-164-G-015-1,164,Augustenfelder Str. - Allach Bf. - Untermenzing Bf. - Westfriedhof,14.15,14.09,43.0,44.5,0.594,0.454,57.0,51.0,"[[48.20062008, 11.44399773], [48.2000812, 11.44752811], [48.20131462, 11.45340309], [48.19879985, 11.45800247], [48.19627298, 11.46101182], [48.19439271, 11.46391338], [48.19175184, 11.46634782], [48.19005107, 11.46692274], [48.18917072, 11.46064351], [48.1910392, 11.4597452], [48.19487775, 11.45666398], [48.19190155, 11.45125612], [48.18633193, 11.44539012], [48.18242685, 11.44770777], [48.18104323, 11.44941457], [48.18007887, 11.44599199], [48.17652674, 11.44353061], [48.17493329, 11.44680048], [48.17699997, 11.46256591], [48.17739533, 11.46853072], [48.17766489, 11.47381282], [48.17801231, 11.48125985], [48.1793481, 11.49021605], [48.17776073, 11.49511187], [48.1726928, 11.5043735], [48.17053009, 11.50901779], [48.16954157, 11.51133545], [48.16806773, 11.51476701], [48.16855901, 11.52241167], [48.1693199, 11.52786445]]","[[48.169248, 11.52750512], [48.16866086, 11.52230388], [48.16837928, 11.51428192], [48.1708596, 11.50878423], [48.17281262, 11.50459808], [48.17837771, 11.49426746], [48.17959368, 11.48924587], [48.17815608, 11.48034357], [48.17782662, 11.47373197], [48.177593, 11.46745274], [48.17734741, 11.46316778], [48.17523282, 11.44631539], [48.17705388, 11.443324], [48.18013278, 11.44629742], [48.18131277, 11.44959424], [48.18250472, 11.4479054], [48.18636188, 11.4455608], [48.19198539, 11.45188494], [48.19463224, 11.45620584], [48.19086553, 11.45970028], [48.18881139, 11.46144301], [48.18984146, 11.46749766], [48.19179376, 11.46648256], [48.19422504, 11.46425474], [48.19634483, 11.46110166], [48.19920701, 11.45703229], [48.20124277, 11.45334919], [48.2004165, 11.44783354], [48.20062008, 11.44399773]]",2403,1716.43,0.3401,9
3-165-G-015-1,165,Allach Bf. - Untermenzing Bf. - Waldhornstraße - Westfriedhof,7.31,7.32,19.5,19.5,0.574,0.437,45.0,45.0,"[[48.19022474, 11.46760546], [48.18833227, 11.46067945], [48.18505623, 11.46004164], [48.17960566, 11.46116454], [48.17790449, 11.46162268], [48.17699997, 11.46256591], [48.17739533, 11.46853072], [48.17766489, 11.47381282], [48.17801231, 11.48125985], [48.1793481, 11.49021605], [48.17776073, 11.49511187], [48.1726928, 11.5043735], [48.17053009, 11.50901779], [48.16954157, 11.51133545], [48.16806773, 11.51476701], [48.16855901, 11.52241167], [48.1693199, 11.52786445]]","[[48.16926597, 11.52787343], [48.16866086, 11.52230388], [48.16837928, 11.51428192], [48.1708596, 11.50878423], [48.17281262, 11.50459808], [48.17837771, 11.49426746], [48.17959368, 11.48924587], [48.17815608, 11.48034357], [48.17782662, 11.47373197], [48.177593, 11.46745274], [48.17734741, 11.46316778], [48.17781464, 11.46179336], [48.17927023, 11.46148793], [48.18442734, 11.46028419], [48.18881139, 11.46144301], [48.19022474, 11.46760546]]",1185,745.91,0.3408,2
3-166-G-015-3,166,Forst-Kasten-Allee - Fürstenried West - Kemptener Straße,3.15,3.15,22.0,25.5,0.919,0.445,78.0,66.0,"[[48.09475985, 11.47642691], [48.09304386, 11.47541182], [48.09071579, 11.47517826], [48.08864564, 11.4805951], [48.08487714, 11.47846609], [48.08343088, 11.48376615], [48.0820806, 11.48514956], [48.07876775, 11.48418836]]","[[48.07876775, 11.48418836], [48.08168451, 11.48572448], [48.0835329, 11.48387395], [48.08490115, 11.47874457], [48.08818959, 11.47922067], [48.08879565, 11.48008306], [48.08858563, 11.48025374], [48.09323586, 11.48127782], [48.09515584, 11.48057713], [48.09475985, 11.47642691]]",1499,530.77,0.475,3
3-167-G-015-1,167,Blumenau - Am Hedernfeld - Holzapfelkreuth - Waldfriedhof (Wendeschl.),6.66,6.45,29.0,22.5,0.841,0.667,12.0,12.0,"[[48.12809622, 11.47491774], [48.12607554, 11.47923864], [48.12231579, 11.47544775], [48.12185405, 11.47219585], [48.1198811, 11.46906971], [48.11769217, 11.46911463], [48.1196772, 11.47348942], [48.12092455, 11.47585199], [48.12224383, 11.47948119], [48.11940734, 11.48147545], [48.12050477, 11.48652398], [48.12069067, 11.49141081], [48.11944332, 11.4961629], [48.11709245, 11.49534543], [48.11589299, 11.5022445], [48.11231242, 11.50309789]]","[[48.11231242, 11.50309789], [48.1129062, 11.50252297], [48.11637278, 11.50149889], [48.11727237, 11.49528255], [48.11950929, 11.49639646], [48.12055275, 11.49132098], [48.1206487, 11.48666771], [48.11952128, 11.48133172], [48.12003702, 11.47853795], [48.12231579, 11.47544775], [48.12185405, 11.47219585], [48.1198811, 11.46906971], [48.11769217, 11.46911463], [48.1196772, 11.47348942], [48.12092455, 11.47585199], [48.12588366, 11.47885237], [48.12572776, 11.47594182], [48.12809622, 11.47491774]]",769,182.46,0.6058,1
3-168-G-015-5,168,Wastl-Witt-Straße - Laimer Platz - Laim Bf. - Nymphenburg Süd,5.08,4.77,19.5,19.0,0.472,0.776,113.0,112.0,"[[48.12659721, 11.4696087], [48.12557786, 11.47470215], [48.12809622, 11.47491774], [48.12942131, 11.47955305], [48.13009883, 11.4839009], [48.12984102, 11.49018012], [48.12888768, 11.49453695], [48.13144786, 11.49834581], [48.13136991, 11.50306196], [48.13604026, 11.50316078], [48.13951127, 11.50325061], [48.14305397, 11.503574], [48.14636267, 11.50246009]]","[[48.14636267, 11.50246009], [48.14349155, 11.50295416], [48.14017067, 11.50296315], [48.13604026, 11.50283738], [48.13132195, 11.50265772], [48.13150182, 11.49818411], [48.12892366, 11.49389915], [48.13010483, 11.48900333], [48.13012881, 11.48245461], [48.12955922, 11.4795261], [48.12825811, 11.47425299], [48.12806624, 11.47031837], [48.12659721, 11.4696087]]",2071,1282.21,0.6201,6
3-170-G-015-3,170,Feldmoching - Harthof - Heidemannstraße - Kieferngarten,9.66,9.59,34.0,33.0,0.776,0.719,43.0,43.0,"[[48.21353945, 11.54049476], [48.21357537, 11.54314479], [48.20904378, 11.54381853], [48.20831343, 11.55145421], [48.20828948, 11.55575714], [48.20852296, 11.56303349], [48.20703228, 11.56324909], [48.2046016, 11.56422825], [48.2053859, 11.56817185], [48.20926528, 11.56801914], [48.21002556, 11.57207953], [48.21064216, 11.57542126], [48.21081576, 11.58126031], [48.2100974, 11.58686579], [48.20532004, 11.5859585], [48.20094939, 11.58602138], [48.20133258, 11.59026143], [48.20220075, 11.59360316], [48.20572715, 11.59431283], [48.20539189, 11.59948712], [48.20214088, 11.60336785], [48.20039854, 11.60620652], [48.2011829, 11.61195574], [48.20271566, 11.61272829]]","[[48.20271566, 11.61272829], [48.20066199, 11.61159641], [48.20080569, 11.60599093], [48.20226661, 11.60285581], [48.20522425, 11.59968475], [48.20589479, 11.59413317], [48.20174571, 11.59268688], [48.20134456, 11.58886904], [48.20175769, 11.58567104], [48.20596663, 11.58650647], [48.21056433, 11.58652444], [48.21084569, 11.58282338], [48.21071399, 11.57516973], [48.21004352, 11.57148664], [48.20949876, 11.56849525], [48.2051105, 11.56808202], [48.20498477, 11.56396774], [48.20727175, 11.5624945], [48.20712208, 11.56024871], [48.20840921, 11.55580205], [48.20844513, 11.55178658], [48.20915154, 11.54387243], [48.21406023, 11.54328852], [48.21388664, 11.54060256]]",1602,955.7,0.4773,4
3-170-G-015-8,170,Feldmoching - Harthof - Heidemannstraße - Kieferngarten,9.66,9.58,34.0,33.0,0.776,0.585,43.0,43.0,"[[48.21353945, 11.54049476], [48.21357537, 11.54314479], [48.20904378, 11.54381853], [48.20831343, 11.55145421], [48.20828948, 11.55575714], [48.20852296, 11.56303349], [48.20703228, 11.56324909], [48.2046016, 11.56422825], [48.2053859, 11.56817185], [48.20926528, 11.56801914], [48.21002556, 11.57207953], [48.21064216, 11.57542126], [48.21081576, 11.58126031], [48.2100974, 11.58686579], [48.20532004, 11.5859585], [48.20094939, 11.58602138], [48.20133258, 11.59026143], [48.20220075, 11.59360316], [48.20572715, 11.59431283], [48.20539189, 11.59948712], [48.20214088, 11.60336785], [48.20039854, 11.60620652], [48.2011829, 11.61195574], [48.20271566, 11.61272829]]","[[48.20271566, 11.61272829], [48.20066199, 11.61159641], [48.20080569, 11.60599093], [48.20226661, 11.60285581], [48.20522425, 11.59968475], [48.20589479, 11.59413317], [48.20174571, 11.59268688], [48.20134456, 11.58886904], [48.20175769, 11.58567104], [48.20596663, 11.58650647], [48.21056433, 11.58652444], [48.21084569, 11.58282338], [48.21071399, 11.57516973], [48.21004352, 11.57148664], [48.20949876, 11.56849525], [48.2051105, 11.56808202], [48.20498477, 11.56396774], [48.20727175, 11.5624945], [48.20712208, 11.56024871], [48.20840921, 11.55580205], [48.20852296, 11.55267592], [48.21349755, 11.55344847], [48.21487431, 11.54448328], [48.21388664, 11.54060256]]",1602,953.04,0.4855,4
3-171-G-015-1,171,Hochmuttinger Str. - Feldmoching Bf. - Harthof - Am Hart,5.65,5.65,35.0,20.5,0.867,0.637,45.0,45.0,"[[48.21741822, 11.53392808], [48.21693938, 11.53682963], [48.21388664, 11.54060256], [48.21353945, 11.54049476], [48.21357537, 11.54314479], [48.20904378, 11.54381853], [48.20831343, 11.55145421], [48.20828948, 11.55575714], [48.20852296, 11.56303349], [48.20703228, 11.56324909], [48.2046016, 11.56422825], [48.20490095, 11.56969899], [48.20441601, 11.57284309], [48.20035663, 11.57344496], [48.19691369, 11.57186393]]","[[48.19703943, 11.5717202], [48.20045243, 11.57366954], [48.20509852, 11.57251072], [48.20496681, 11.5690522], [48.20498477, 11.56396774], [48.20727175, 11.5624945], [48.20712208, 11.56024871], [48.20840921, 11.55580205], [48.20844513, 11.55178658], [48.20915154, 11.54387243], [48.21406023, 11.54328852], [48.21388664, 11.54060256], [48.21353945, 11.54049476], [48.2170531, 11.53686557], [48.21741822, 11.53392808]]",1246,591.3,0.5096,3
3-171-G-015-7,171,Hochmuttinger Str. - Feldmoching Bf. - Harthof - Am Hart,5.65,5.63,35.0,20.5,0.867,0.408,45.0,45.0,"[[48.21741822, 11.53392808], [48.21693938, 11.53682963], [48.21388664, 11.54060256], [48.21353945, 11.54049476], [48.21357537, 11.54314479], [48.20904378, 11.54381853], [48.20831343, 11.55145421], [48.20828948, 11.55575714], [48.20852296, 11.56303349], [48.20703228, 11.56324909], [48.2046016, 11.56422825], [48.20490095, 11.56969899], [48.20441601, 11.57284309], [48.20035663, 11.57344496], [48.19691369, 11.57186393]]","[[48.19703943, 11.5717202], [48.20045243, 11.57366954], [48.20509852, 11.57251072], [48.20496681, 11.5690522], [48.20498477, 11.56396774], [48.20727175, 11.5624945], [48.20712208, 11.56024871], [48.20840921, 11.55580205], [48.20852296, 11.55267592], [48.21349755, 11.55344847], [48.21487431, 11.54448328], [48.21388664, 11.54060256], [48.21353945, 11.54049476], [48.2170531, 11.53686557], [48.21741822, 11.53392808]]",1246,588.04,0.5228,3
3-172-G-015-3,172,Dachau Bf. - Karlsfelder Str. - Feldmoching Bf. - Am Hart,17.63,18.22,44.5,47.0,0.499,0.445,45.0,44.0,"[[48.25554977, 11.44302755], [48.25749358, 11.44229992], [48.25749358, 11.44618962], [48.25714071, 11.45157053], [48.25078264, 11.45507396], [48.22769434, 11.4639583], [48.22549804, 11.46744376], [48.2226493, 11.47203415], [48.21989018, 11.47644488], [48.21607146, 11.48078374], [48.21307853, 11.48546397], [48.21631089, 11.48662279], [48.21719077, 11.48975791], [48.21628694, 11.50883813], [48.21816641, 11.51747992], [48.21809458, 11.52496289], [48.21701719, 11.52879869], [48.2150898, 11.53127805], [48.21455706, 11.53492521], [48.21392854, 11.53902152], [48.21472466, 11.5453277], [48.21327607, 11.55579307], [48.21221653, 11.5623328], [48.20852296, 11.56303349], [48.20703228, 11.56324909], [48.20499076, 11.56353655], [48.20154214, 11.56402164], [48.19607537, 11.56473131], [48.19241057, 11.5651625], [48.19149433, 11.56757897], [48.1934765, 11.57077697], [48.19509931, 11.57220529], [48.19718913, 11.57176511]]","[[48.19718913, 11.57176511], [48.19497356, 11.57207054], [48.19356034, 11.57052544], [48.19160811, 11.56753405], [48.19225487, 11.56558471], [48.19596759, 11.56502775], [48.20154813, 11.56438995], [48.20498477, 11.56396774], [48.20737951, 11.56355451], [48.21222252, 11.56288078], [48.21337185, 11.55581104], [48.21487431, 11.54448328], [48.21353945, 11.54049476], [48.21465882, 11.53484436], [48.2151736, 11.53135889], [48.21762771, 11.52887056], [48.21819633, 11.52495391], [48.21838188, 11.51829739], [48.216263, 11.50833507], [48.21735837, 11.48920096], [48.21613132, 11.48652398], [48.21307254, 11.4845387], [48.21641264, 11.48082866], [48.22012361, 11.47647183], [48.2233615, 11.4713694], [48.22631194, 11.46660833], [48.22796962, 11.46389542], [48.25008877, 11.45521769], [48.25720052, 11.45281919], [48.25757732, 11.44669268], [48.25724837, 11.44227297], [48.25457485, 11.44327908]]",1861,1769.74,0.3296,6
3-173-G-015-1,173,Feldmoching - Robinienstr. - Olympiazentrum - Petuelring,6.56,6.61,20.0,20.5,0.991,0.711,93.0,92.0,"[[48.21353945, 11.54049476], [48.21465882, 11.53484436], [48.21480248, 11.53055041], [48.21122283, 11.53055939], [48.20870854, 11.5327962], [48.20397296, 11.53881491], [48.1999854, 11.54354903], [48.1964107, 11.54577685], [48.19126676, 11.54895689], [48.18546949, 11.55192133], [48.18254065, 11.55393356], [48.17865924, 11.55655664], [48.17588577, 11.55957498], [48.17531069, 11.56646505]]","[[48.17539456, 11.56660879], [48.17632906, 11.55974566], [48.17874311, 11.55680817], [48.18339117, 11.55377186], [48.18666134, 11.55148116], [48.19162009, 11.54892096], [48.19691967, 11.54562414], [48.20042848, 11.54334242], [48.20382927, 11.53874305], [48.20887616, 11.53280518], [48.21147425, 11.53046058], [48.21492818, 11.53073007], [48.21455706, 11.53492521], [48.21388664, 11.54060256]]",2047,1389.16,0.3662,7
3-174-G-015-1,174,Dientzenhoferstraße - Am Hart,1.49,1.01,5.0,4.0,0.47,0.79,78.0,79.0,"[[48.20333833, 11.5772628], [48.20441601, 11.57284309], [48.20035663, 11.57344496], [48.19691369, 11.57186393]]","[[48.19703943, 11.5717202], [48.20045243, 11.57366954], [48.20116494, 11.57687653], [48.20333833, 11.5772628]]",703,232.31,0.5667,1
3-175-G-015-1,175,Ludwigsfeld (Campingplatz) - Fasanerie Bf. - OEZ - Georg-Brauchle-Ring,7.04,7.0,23.0,23.0,0.597,0.528,57.0,45.0,"[[48.19900343, 11.49733969], [48.20168584, 11.50669116], [48.20041052, 11.51268292], [48.19915911, 11.51880045], [48.19882979, 11.52241167], [48.19751846, 11.52390288], [48.18595461, 11.5210642], [48.18189377, 11.52187268], [48.18196565, 11.52531323], [48.18245081, 11.53017312], [48.18385835, 11.53143076], [48.1845651, 11.53329027], [48.18318154, 11.53673082], [48.18003095, 11.53667692], [48.17756305, 11.53641641], [48.1766106, 11.53000244]]","[[48.1766106, 11.53000244], [48.17761097, 11.52969701], [48.17782662, 11.5366859], [48.17977338, 11.5368476], [48.18316357, 11.53689252], [48.18415782, 11.53139483], [48.18213935, 11.52911311], [48.18205549, 11.52556476], [48.18229508, 11.52136963], [48.18591868, 11.5212259], [48.19639273, 11.52446882], [48.19890164, 11.52238472], [48.19923695, 11.51871061], [48.20048835, 11.51272783], [48.2018475, 11.50625098], [48.19900343, 11.49733969]]",1297,814.02,0.4782,3
3-176-G-015-1,176,Karlsfelder Straße - Rangierbahnhof - Moosach Bf.,5.14,6.17,12.5,18.5,0.817,0.567,28.0,29.0,"[[48.21607146, 11.48078374], [48.21225844, 11.48474531], [48.20300903, 11.49391711], [48.1939915, 11.49611798], [48.19184765, 11.50207382], [48.18832628, 11.50327756], [48.18589472, 11.50406808], [48.18324742, 11.50752659], [48.18057603, 11.50508317]]","[[48.18057603, 11.50508317], [48.18370262, 11.50699658], [48.18609836, 11.50415791], [48.1883742, 11.50341231], [48.1918776, 11.5022445], [48.19420707, 11.49619883], [48.20241031, 11.49419559], [48.21307853, 11.48546397], [48.21631089, 11.48662279], [48.21835794, 11.48324513], [48.21607146, 11.48078374]]",504,360.33,0.2907,1
3-177-G-015-1,177,Petuelring - Frankfurter Ring - Studentenstadt,4.96,5.26,16.5,18.5,0.423,0.723,85.0,84.0,"[[48.17531069, 11.56646505], [48.18133673, 11.56700404], [48.18479869, 11.56668065], [48.18713447, 11.56679743], [48.18742195, 11.57313954], [48.18751178, 11.57587042], [48.18779926, 11.58548239], [48.18779327, 11.59186043], [48.187392, 11.59702574], [48.18671524, 11.60286479], [48.18636188, 11.60622449], [48.18391226, 11.60827265]]","[[48.18391226, 11.60827265], [48.18649364, 11.60715874], [48.18706859, 11.60193953], [48.18757766, 11.59707964], [48.18805678, 11.59183348], [48.18799689, 11.58359593], [48.18769744, 11.57579855], [48.18764354, 11.57211546], [48.18683502, 11.56595302], [48.18434948, 11.56639319], [48.18121693, 11.56680641], [48.17531069, 11.56646505]]",1822,984.61,0.5204,4
3-178-G-015-3,178,Freimanner Hölzl - Kieferngarten - Frankfurter Ring - Petuelring,9.35,8.87,37.0,37.5,0.653,0.496,43.0,42.0,"[[48.19203929, 11.60123884], [48.19171591, 11.60592805], [48.19376394, 11.60828163], [48.19597956, 11.60944046], [48.2011829, 11.61195574], [48.20190138, 11.61198269], [48.20066199, 11.61159641], [48.20002133, 11.60542499], [48.19693165, 11.60396972], [48.1929136, 11.59877746], [48.19287168, 11.59604658], [48.19225487, 11.59026143], [48.19191952, 11.5823293], [48.19263813, 11.5785474], [48.19236266, 11.57488227], [48.19144642, 11.57225919], [48.18764354, 11.57211546], [48.18726623, 11.56558471], [48.18642776, 11.56226992], [48.18323544, 11.56297959], [48.17947988, 11.56380604], [48.17535263, 11.56653692]]","[[48.17535263, 11.56653692], [48.17933612, 11.5640396], [48.18295992, 11.56320417], [48.18659546, 11.56248552], [48.18713447, 11.56679743], [48.18785316, 11.57276224], [48.19206324, 11.57245682], [48.19230877, 11.57500803], [48.19253034, 11.5785474], [48.19155421, 11.58215862], [48.19246447, 11.59042312], [48.19271598, 11.59614539], [48.19275191, 11.59970272], [48.19688974, 11.60415836], [48.20039854, 11.60620652], [48.2011829, 11.61195574], [48.20271566, 11.61272829], [48.20066199, 11.61159641], [48.19576998, 11.60917096], [48.19312319, 11.60772468], [48.19203929, 11.60123884]]",1945,883.79,0.5143,4
3-179-G-015-3,179,Olschewskibogen - Frankfurter Ring,3.0,2.52,9.5,7.0,0.566,0.278,19.0,31.0,"[[48.20025484, 11.55893717], [48.20121882, 11.56360841], [48.19607537, 11.56473131], [48.19241057, 11.5651625], [48.19149433, 11.56757897], [48.19154823, 11.57061527], [48.18785316, 11.57276224]]","[[48.18785316, 11.57276224], [48.19165003, 11.5716663], [48.19160811, 11.56753405], [48.19225487, 11.56558471], [48.19596759, 11.56502775], [48.20134456, 11.56349163], [48.20025484, 11.55893717]]",412,154.54,0.3895,1
